app_name,release_year,item_id,developer,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing
Garry's mod,2006,4000,Facepunch studios,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Race - the wtcc game,2006,4230,Simbin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zen of sudoku,2006,4900,Unknown worlds entertainment,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gumboy - crazy adventures™,2006,2520,"Cinemax, s.r.o.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ghost master®,2003,6200,Sick puppies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Vegas: make it big™,2006,6210,Deepred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dreamfall: the longest journey,2006,6300,Funcom,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Flatout 2™,2006,2990,Bugbear entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Flatout,2005,6220,Bugbear entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lost planet™: extreme condition,2007,6510,"Capcom co., ltd.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civcity: rome,2006,3980,"Firefly studios,firaxis games",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Arx fatalis,2002,1700,Arkane studios,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The longest journey,2000,6310,Funcom,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Civilization iv®: warlords,2006,3990,Firaxis games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Railroad tycoon 3,2003,7610,Poptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sid meier's railroads!,2006,7600,"Firaxis games,feral interactive (mac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Railroad tycoon ii platinum,1998,7620,Poptop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
X-com: terror from the deep,1995,7650,"Microprose software, inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tomb raider: anniversary,2007,8000,"Crystal dynamics,feral interactive (mac)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devil may cry® 3 special edition,2006,6550,"Capcom co., ltd.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam & max 101: culture shock,2006,8200,Telltale games,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Final doom,1996,2290,Id software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam & max 102: situation: comedy,2006,8210,Telltale games,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultimate doom,1995,2280,Id software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master levels for doom ii,1995,9160,Id software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doom ii,1994,2300,Id software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolfenstein 3d,1994,2270,Id software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Return to castle wolfenstein,2001,9010,Gray matter studios,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quake mission pack 1: scourge of armagon,1997,9040,Ritual entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spear of destiny,1993,9000,Id software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloodrayne,2003,3810,Terminal reality,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quake mission pack 2: dissolution of eternity,2007,9030,Rogue entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quake,2007,2310,Id software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genesis rising,2007,3230,Metamorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Warhammer® 40,000: dawn of war® – winter assault",2006,9310,Relic entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bioshock™,2007,7670,"2k boston,2k australia",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Warhammer® 40,000: dawn of war® - game of the year edition",2006,4570,Relic entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Warhammer® 40,000: dawn of war® - dark crusade",2006,4580,Relic entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rome: total war™ - collection,2004,4760,The creative assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rome: total war™ - alexander,2006,4770,The creative assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mystery case files: madame fate®,2007,50970,Big fish games,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhunt,2004,12130,Rockstar north,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midnight club 2,2003,12160,Rockstar san diego,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Max payne 2: the fall of max payne,2003,12150,Remedy entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomb raider: legend,2006,7000,Crystal dynamics,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max payne,2001,12140,Remedy entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Command & conquer: red alert 3,2008,17480,Ea los angeles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Puzzlequest: challenge of the warlords,2007,12500,Infinite interactive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culpa innata,2007,12310,Momentum digital media technologies,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Prison tycoon 3™: lockdown,2007,12510,"Gamebryo,virtual playground",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hunting unlimited™ 2008,2007,12530,Scs software,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18 wheels of steel: american long haul,2007,12520,Scs software,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Conflict: denied ops,2008,8100,Pivotal games,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arma: combat operations,2007,2780,Bohemia interactive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desperados 2: cooper's revenge,2006,9710,Spellbound,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Death to spies,2007,9800,Haggard games,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Act of war: high treason,2006,9760,Eugen systems,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rollercoaster tycoon® 3: platinum,2006,2700,"Frontier,aspyr (mac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Act of war: direct action,2005,2710,Eugen systems,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unreal 2: the awakening,2003,13200,"Epic games, inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unreal gold,1998,13250,"Epic games, inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninja reflex: steamworks edition,2008,13000,Sanzaru games,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tom clancy's splinter cell®,2003,13560,Ubisoft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Far cry®,2004,13520,Crytek studios,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unreal tournament: game of the year edition,2000,13240,"Epic games, inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom clancy's rainbow six® vegas,2006,13540,Ubisoft montreal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silent hunter® iii,2005,15210,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Virtual villagers - the secret city,2008,16180,Last day of work,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mystery p.i.™ - the vegas heist,2008,3520,Spintop games,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxor,2008,15970,Mumbojumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reaxxion,2008,15950,Mumbojumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little farm,2008,15960,Mumbojumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 wonders ii,2008,15900,Mumbojumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxor amun rising,2005,15910,Mumbojumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxor 3,2007,15930,Mumbojumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petz® horsez® 2,2007,15160,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Luxor 2,2005,15920,Mumbojumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayman raving rabbids™,2007,15080,"Ubisoft bulgaria,ubisoft montpellier",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silent hunter®: wolves of the pacific,2007,15200,Ubisoft romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Il-2 sturmovik: 1946,2006,15320,1c: maddox games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Silent hunter®: wolves of the pacific u-boat missions,2008,15240,Ubisoft romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bone: out from boneville,2005,8310,Telltale games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midnight outlaw: 6 hours to sunup,2005,12600,"Merscom,babylon",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bone: the great cow race,2006,8320,Telltale games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sprint cars road to knoxville,2008,12590,Bigant studios,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ride! carnival tycoon,2007,12560,Gabriel entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mahjongg investigations: under suspicion,2007,12540,Zemnott,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dracula origin,2008,11050,Frogwares,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherlock holmes - nemesis,2008,11040,Frogwares,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Eternity's child,2008,19500,"Luc bernard,silverspherestudios",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pacific storm allies,2007,11260,Lesta studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Tank universal,2008,19200,Dialogue design,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Flatout: ultimate carnage,2008,12360,Bugbear entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Oddworld: abe's exoddus®,1998,15710,Oddworld inhabitants,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oddworld: abe's oddysee®,1997,15700,Oddworld inhabitants,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gtr evolution expansion pack for race 07,2008,8660,Simbin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
X-com: enforcer,2001,7770,"Microprose software, inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
X-com: apocalypse,1997,7660,"Microprose software, inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
X-com: ufo defense,1993,7760,"Microprose software, inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S.t.a.l.k.e.r.: clear sky,2008,20510,Gsc game world,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Crysis warhead®,2008,17330,Crytek,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crysis,2007,17300,Crytek,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X-com: interceptor,1998,7730,"Microprose software, inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The witcher: enhanced edition director's cut,2008,20900,Cd projekt red,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Multiwinia,2008,1530,Introversion software,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Stcc - the game 1 - expansion pack for race 07,2008,8690,Simbin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Children of the nile: alexandria,2008,17120,"Tilted mill entertainment, inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Sid meier's civilization iv: colonization,2008,16810,Firaxis games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tom clancy's rainbow six® 3 gold,2003,19830,"Red storm entertainment,ubisoft montreal",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lego batman,2008,21000,Traveller's tales,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City life 2008,2008,4460,Monte cristo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Hinterland,2008,17140,"Tilted mill entertainment, inc.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Brothers in arms: hell's highway™,2008,15390,Gearbox software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gravitron 2,2008,21300,Dark castle software,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Xpand rally xtreme,2006,3050,Techland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Heroes of might & magic v: hammers of fate,2006,15380,Nival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Brothers in arms: earned in blood™,2005,19800,Gearbox software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heroes of might & magic v: tribes of the east,2007,15370,Nival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The settlers®: rise of an empire gold edition,2008,19930,Blue byte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Brain spa,2007,15350,Ubisoft,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The sum of all fears,2002,19810,Red storm entertainment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peggle™ nights,2008,3540,"Popcap games, inc.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World of goo,2008,22000,2d boy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
X3: terran conflict,2008,2820,Egosoft,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Mare nostrum,2008,1230,Sandstorm productions,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spectraball,2008,18300,Shorebound studios,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Galactic bowling,2008,20200,Perpetual fx creative,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Bully: scholarship edition,2008,12200,Rockstar new england,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Far cry® 2: fortune's edition,2008,19900,Ubisoft montreal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Space trader: merchant marine,2008,11240,Meridian4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Prr wagon pack 01,2009,256522,Railsimulator.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Class 421 london south east ""jaffa cake""",2009,275144,Railsimulator.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Atsf wagon pack 01,2009,256521,Railsimulator.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gp20 union pacific add-on livery,2009,222569,Reppo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Uk van wagon pack,2009,256535,Railsimulator.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Csx sd70mac add-on livery,2009,256611,Dovetail games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Csx es44ac add-on livery,2009,256576,Dovetail games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Saints row 2,2009,9480,Volition,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead space,2008,17470,Ea redwood shores,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rise of the argonauts,2008,12770,Liquid entertainment,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mirror's edge™,2009,17410,Dice,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defense grid: the awakening,2008,18500,Hidden path entertainment,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
F.e.a.r. 2: project origin,2009,16450,Monolith,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvest: massive encounter,2008,15400,Oxeye game studio,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Mayhem intergalactic,2007,18600,Inventive dingo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Larva mortus,2009,11340,Meridian4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Knights of honor,2005,25830,Black sea studios ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ceville,2009,23460,Realmforge studios,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Empire: total war™ - special forces units & bonus content,2009,10600,"The creative assembly,feral interactive (mac),feral interactive (linux)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Watchmen: the end is nigh,2009,21010,Deadline games,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penumbra overture,2007,22180,Frictional games,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Unreal tournament 3 black,2007,13210,"Epic games, inc.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drakensang,2009,12640,Radon labs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The graveyard,2008,27020,Tale of tales,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Burnout paradise: the ultimate box,2009,24740,Criterion games,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The maw,2009,26000,Twisted pixel games,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The maw: river redirect,2009,26006,Twisted pixel games,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The maw: brute force,2009,26005,Twisted pixel games,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Obulis,2009,11330,Ionfx,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Space giraffe,2009,27800,Llamasoft ltd,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Codename: panzers - cold war,2009,9850,"Innoglow,stormregion,thq nordic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Escape rosecliff island,2009,3600,Spintop games,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guild wars nightfall,2006,29580,Arenanet®,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Guild wars,2005,29540,Arenanet®,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Guild wars factions,2006,29560,Arenanet®,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Guild wars trilogy,2008,29570,Arenanet®,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Puzzle kingdoms,2009,23700,Infinite interactive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samantha swift and the golden touch,2009,16060,Mumbojumbo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two worlds epic edition,2009,1930,Reality pump studios,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Helldorado,2009,18470,Spellbound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
