user_id,playtime,item_id
Getf0kinn0sc0pedm9,19872,4000
76561198141443390,36,4700
76561198031924053,38991,22380
76561198097333029,219,4000
Whodafuqisthisguilao,462,550
76561198072205329,1321,4000
Icamebackbitches,55,4000
Magjiikal,212,240
Ohnospaghet,332,10
76561198050347115,0,23310
2768820078,3370,4000
76561198049968536,80,4000
76561198056392326,356,29800
2d4nk4m3,51,300
76561198074003102,4100,240
76561198078478151,0,10
Exiaez,8509,4000
Burningchicken3,298,220
76561198066835162,428,240
76561198069593452,669,113400
Undietaker,2979,240
76561198095921854,6460,4700
Eizanaratofujimaki,1926,4000
Pootisspensor,128,50
Angorabug,14,4000
Tecool,85,4000
Zyhgarthestarweaver,4201,300
2xdelorean,4037,4000
Washington_,33,70
76561198088944293,1616,300
76561198061769804,5,29800
76561198051258119,1636,550
Nubquake123,1930,4000
Pyromanic,94,240
76561198109656922,25031,4000
76561198149432604,6873,620
Unplanned_stategy,14895,8930
Cobrazor,98685,4000
Relesprit,687,4000
76561198090294067,720,4000
Talove112345,9383,4000
76561198055094875,6502,4000
Witchhunter4542,1208,240
76561198203244300,52344,105600
Pwrt,1365,4000
Wantmahbody,984,4000
76561198115868847,5813,4700
Benedictcuminherbatch,3825,1250
76561198031207016,2384,34030
76561198043458582,15317,4000
Smashiroshh,1600,4000
Shark854,51,4000
76561198062876401,361,220
76561198011661078,46,10
Pablosanches,95,70
Killbunny38,1832,4000
76561198047630659,3343,240
76561198069713121,6370,4000
1997-07-06_j077,17149,4000
76561198076248461,142,4000
1337lolroflmao,3833,240
76561198080832419,4048,105600
76561198151645088,224,300
Iaa_recon_dropbear,54,220
Goonbagger,3715,4000
76561198060039459,37,4000
Ozfuratlas,9716,4000
76561198065593074,64851,4000
Madmax64,21265,4000
76561198044169764,84,300
Euzi,831,47870
Lucasrash,1464,4000
76561198082845362,9628,730
76561198087767019,2220,4000
Thisissohardtomakeoneup,21,4000
76561198087010391,23435,4000
66666669999999,0,20
76561198061174192,69,300
Doafapbeforeanap,75,8500
Remixofficalsteam,43,240
Wilfire77,165,240
76561198042730234,0,220
76561198086476445,1082,240
76561198085016240,954,240
76561198060808273,9325,4000
76561198084390807,1,10180
76561198003688205,205234,10
Mastic,339,70
Scooterinooo,418,220
76561198028286104,311,4000
76561198088447673,1515,10
Tarjla,3229,240
Deathnz1,49,10
Readingthis4noobs,17240,4000
Sonicmcgamer,607,240
Xxboss1xx,864,104900
76561198084698198,44302,4000
76561198104393251,12880,4000
Borne901,1352,10
Redsncrimson,4333,4000
76561198151910904,14,4760
H1dd3nt3rr0r,327,220
76561198071214618,685,240
76561198115115631,527,240
Sisiiik,2233,6860
76561198071175142,1440,4000
T8s,67,10180
Pikawuu2,2711,4000
Sammeh00,10499,4000
Godlike_bot,53,240
Dpswaffles,2947,4000
Noobfighter,77,17300
Michaelele,0,240
76561198045754869,375,240
76561198076098774,412,240
76561198074963071,55,4000
76561198048417105,438,220
76561197989175394,6964,240
76561198090842891,14499,4000
76561198058706736,0,2620
76561198055767971,2,240
76561197998052647,2420,4000
Adohya343,0,300
76561198145436942,10473,4000
3xotic26,110,220
Iamthetrashlord,97,300
Nothingheretrustme,4296,4000
76561198071253729,1118,4000
3dster,198,4000
76561198041808338,8103,4000
76561198016685643,560,220
76561198079990063,2,240
Forty-nine,8780,4000
76561198051017916,412,400
L4m1nas,463,240
Emurphy8,219,4000
76561198096766604,1800,4000
Sephirical,26,4000
76561197995322437,213,220
Imsojipper,16,300
76561198096220900,402,4000
76561198084542731,178,220
Fullswag0to100realquick,3395,240
76561198102121026,37,338170
76561198103671881,194,4000
Mrpfresh,148,10
Gamerfag,125,10
76561197970628046,655,220
76561198013858002,103,3910
76561198058570014,2953,240
76561198045133986,1297,220
76561198002820828,5432,4000
Chidori_647,0,10
76561198092227136,0,10
Hellcat59,11658,4000
76561198007584361,1041,4000
Tbimperator,303,3920
Allahu_akbar666,32709,4000
Ulramite,13,220
76561198080534850,0,240
-gm-dragon,14,10
Leorocksace,255,4000
76561198054040292,6508,4000
76561198155458511,21031,4000
I_did_911_just_saying,2349,4000
76561198077035732,2078,105600
76561198072625764,163,4000
A_je_100,37608,105600
Imagoatieatpoo,2031,17390
750805,176,15700
76561198080881726,155,4000
Thatishayden,252,240
Flabbernackle,1826,4000
Diabeticfuck,5,300
Magicalpony,0,109600
76561197962104795,164,10
76561198054465623,7556,4000
76561198074257942,39,1520
Aaropro,4239,4000
Aaron_ggf,1,10
Abiam,453,4000
76561198037346576,375,22330
Frankowalker,326,4000
Lightfootsword7,25,20
Dadanman,610,4000
Saltthew0und,6404,4000
Express157,243,220
76561198074644990,921,240
76561198064304806,2172,4000
3456457568,1465,240
Tomoemamiewe,956,4000
76561198057086148,35848,4000
Acidius99,325,4000
76561198067150343,741,4000
Acorn13,1050,240
Adamcookie,19,240
Addzythebaddzy,20,320
76561197997824340,119,2400
76561198076154360,714,4000
76561198055524901,792,550
Mradobe7,109,220
Zomboy151,0,3830
76561198167207237,25766,4000
Cancerkek,0,2590
Matto1499,419,240
76561198073508075,9730,4000
76561198090899557,1503,4000
76561198072468669,1004,550
Advancebest,354,240
Advenger95,339,70
Endathallow,25547,4000
76561198060820384,0,4000
76561198063624801,2114,240
Aeryal,397,4000
Vault_brothers,1272,4000
After2night,4666,4000
76561198029090446,1947,220
76561197968819541,233,10
76561198015968275,772,4000
Defender_10,11788,4000
Agiegamma,698,220
76561198082614708,1166,4000
76561198066465411,3274,4000
Agronoth,1305,4000
Unholyfallenangel,5193,240
Ricardio556,344,220
Madgamerzzz,14907,4000
76561198068565589,32910,4000
Slutonthespit,533,4000
Westygaming,1934,10
Naruseairia,87,220
76561198265081359,1441,105600
76561198046844795,7174,240
76561198067713802,12,320
76561198187212131,20,4000
Rjh91,173,4000
Alansiulun,158,12120
Albolah,889,4000
76561198003056556,0,70
76561198063941075,354,220
76561198088886304,0,19900
Maxpaynepillkiller,0,3830
76561198056092813,340,240
76561198095481910,852,1250
76561198089024454,23,240
76561198034129825,2718,320
Tninjat,218,240
76561198068935240,4,6910
76561198036955150,5324,240
76561198018840908,0,240
Alkalinedeath,458,2600
76561198075935236,155,220
Jupeter117,7747,4000
Gsgg,219,220
76561198075258452,24,240
Jesusunholy,81,4000
Mintifreshbadger,74,300
Alpacarevolution,724,4000
76561197996305896,1388,4000
Alphabryn444,16518,4000
76561198009001563,715,240
76561198016753953,37212,4000
Smegmyfoodle,41,4000
Altas2011,1095,4000
Silentbroadcaster,1493,4000
76561198057869849,539,240
Lol_ursuchanoob,1789,240
Rhysf,22786,240
76561198098156489,1579,4000
76561198040021446,1451,1250
76561198035890730,4979,4000
Amv72,20,10
76561198069170979,59,240
76561198085956238,87,70
76561198132540690,70,2500
711armageddoncarmageddon,245,240
76561198058301224,22,1900
76561198055326484,0,20
76561198034868596,899,240
Ancientblade,3774,17480
Andraison,83,10
76561198048401235,46,220
76561198050465176,0,220
76561198026258913,13718,4000
76561198069560699,2,240
76561198099625419,1057,220
Someone6245,1,70
76561198084032274,26757,4000
76561198030772859,15979,4000
Angrovar,1160,4000
Angryainsley,160488,4000
76561198069005048,253,1250
-animeismything-,6119,240
Uradumbtit,133,70
76561198037038784,1426,3830
Ikillnoobsfirst,1598,240
76561198037888300,70,15620
Operationblueberry,747,4000
1234865654,362,20
Antacy,102,4000
76561197992148038,0,320
76561198034942509,42,30
76561198032377745,26884,4000
Capitaomurilao,3932,4000
Apachehavoc,844,4000
Apexnz,4663,4000
76561198039441595,2,10
76561198036687918,1100,240
Apollopepsi,11558,4000
Benjamin27,222,220
Appogetssuperadmin,72764,4000
Arrive,39,4000
76561198071475367,1345,4000
R3ap3r78,5811,240
Aquilares,0,300
76561198065064829,2381,10500
Xablauziitu,89,400
76561198012909706,1525,220
Aarcanicuss,1173,47810
Dragonchief,3255,240
76561198040530605,32358,4000
76561197974500703,1791,220
76561198047185525,924,240
76561198067188826,50,4000
Arctictek,96,240
76561197974465310,0,220
Sweep6060,860,220
Bilyitu,0,29800
76561198088538797,1168,240
76561198089844789,258,240
76561198072861800,244,4000
Deployablearchnagel,3535,4700
Rotflmaoman,136,1520
76561198088670023,108,240
76561198081028176,1286,3830
Armouredforbattle,283,108800
Armouredmarshmallow,36243,4000
Darrenfordfalcon,5311,4000
76561198020928326,5599,70
76561198045570160,8029,4000
Arockstar28,7309,4000
Array71,141,240
76561198039874575,39802,4000
Arronlim13,1,320
76561198042389215,0,4700
76561198006534186,0,9480
Artej96,84,4000
Artherdunger10,210,300
Mackus1011,823,240
76561198041877981,8084,4000
Arzarnar,471,300
76561198089950447,6074,4000
Darkmassieh,0,10
Asianturtlefrenzy,261,4000
Edmund28,2179,4000
Blowjobsfurdayzandgayz,4863,4000
76561198082992295,3625,4000
Lalocadelosdulces,47719,10
76561198096064761,41054,105600
76561198064352761,604,4000
Assassin_warman,834,220
76561198019431054,8,4560
Astrelt,1,240
Bobjimmy007,184,1670
76561198091740831,13047,4000
76561198095380303,7,9760
76561198052003136,265,4760
Omgihaveawebpage,0,10
Swish0009,1366,240
76561198030943851,0,240
Aurora99,1170,4000
76561198053071988,224,3920
Minionking,610,4000
76561198083375450,18,1700
Scroopy22,0,70
76561198076984454,32,4000
76561198091054851,65,240
Idestrix,7,10
Auzmoz,143168,320
Auzzie_96,0,70
76561198009353440,340,300
76561198082020576,99,220
Fatrangacuntnolifevirgin,456,4000
76561198080015704,3722,4000
76561198040602004,8574,240
76561198064150679,7099,240
76561198110293299,3011,4000
Cam5699,0,240
De_triggered,187008,4000
76561198071748311,101,4000
Azzydazzy,2786,4000
76561198048900256,6417,4000
Azrafael,0,10
-azsael-,1456,2100
76561198076301023,942,4000
Arewefaded,2536,4000
76561198065247809,1484,17300
76561198086081043,905,240
Hoarbiscuit,724,10
Bohgeraltofrivia,9075,4000
Teh-b-rad,6640,4000
Baw_killer,46,10
Moriceplease,0,220
Gamerdude7892,32,4000
76561197970168558,43,10
Timothyshen,356,4000
76561198227794828,361,4000
2ez4medick,767,4000
76561198118595651,850,4000
Bbbirb,147,240
Agentxiri,50,107200
76561198018950738,655,220
Hamfritta,1,3300
76561198064579722,5897,4000
Potatoskins,32,4000
Crispymemesmantheyremyfavourite,3232,4000
76561198044593618,14108,550
76561198074409406,700,240
76561198049617612,1,2600
H-alo,496,3920
76561198075444114,164,240
420blz,412,240
76561198076548816,7335,240
76561198075039895,1186,4760
Chillrend,2369,4000
76561198218877443,1811,273110
76561198070149038,0,550
76561197994407780,661,240
76561198035548591,4439,4000
Gborges,1431,4000
Lukeyturley,207,7940
Sergeantbash111,17583,4000
76561198071872532,924,550
Polygoncloud,3180,300
Zuera12,358,10
76561198043660058,2732,4000
76561198095142204,62,7000
Bob_200,5171,4000
76561198070735033,94,50
76561198018560501,955,240
76561198010642927,7775,4000
76561198051148175,3028,4000
76561198047208452,1756,4000
Generalale,8,320
76561198027831921,58700,4000
Brendoboy,51495,4000
76561198071234254,1236,4000
76561198165870150,3241,4000
76561198083049918,552,21130
76561198072652548,1549,220
Infixation,3,220
76561198071162228,729,4000
Brodo764,97,4700
76561198047304525,53291,4000
76561198068855162,2298,3910
76561197994969639,47,4000
76561198200015694,0,22300
76561198064016444,39481,4000
Minecraft123,22377,240
76561197960694096,0,10
Juanmansnipez,221,240
Ben_andy,1299,2700
Bennysaputra,24336,10
76561198067021476,61,240
76561198190487725,3187,4000
76561198045071942,0,1900
76561198027081791,138,320
76561198027046431,113,4000
Ahahahahahahahahahahahahahahaha,345,4000
Bitchplese,13779,4000
Too_1337,184,10
76561198069143001,1,240
76561198074755143,453,4000
Limabeansaregross,3,240
76561198075175410,37501,4000
76561198045214274,1050,11450
Kinglemon1222,16920,4000
76561198050404009,1934,220
76561198030636321,55,220
76561198007342405,28,240
76561198081885254,19237,4000
Llamasinnigjamas,10017,4000
76561198048370750,119,10
76561198035363871,739,70
Hummingsenpai,6,12120
Bioturdz,322,220
76561198018845815,1577,15120
Chaaang,157,70
76561198056980314,7452,4000
76561198077586769,5208,4000
76561198043296029,108,4000
Bitmat,8,10
76561198028483487,157,220
Ghoster09,6716,4000
76561198081496844,34858,4000
180577,99,10
Blackheart,12397,240
Barridos,2418,10
76561198053775195,626,4000
Blackhawk611,65,220
Mrsalm0n,357,300
76561198039778856,2465,4760
76561198035782795,0,240
76561198077278011,3686,4000
76561197988863895,267,550
76561198007478325,1665,2100
76561197988976770,44,320
76561198171166530,2875,4000
Hbk1462,2678,4000
76561198044500343,741,220
76561198057521157,1291,240
76561198053766465,1538,4500
76561198083368833,5904,4000
Fhk,237,6860
76561198082282442,6781,4000
Blue333,5562,4000
76561198030735076,1405,4000
Bluegills,0,10
76561198066253111,14,240
Rrbr,385,240
13lazer,15,300
76561198070259755,204,220
76561198044344399,30425,4000
76561197999613236,27,300
Respekplox,44932,4000
76561198062288797,0,8600
76561197989449545,1123,240
Bobseagull,1861,240
Bobsterman,3272,4000
76561198068305940,244,4000
Bonesdontrattlethem,101,20
76561198062403736,416,240
76561198073642113,1809,240
76561198055648263,89,10
Boogs17,41,10
76561198086083118,0,240
76561198211433640,1876,4000
Ilyjoepoe,654,4000
Mantrouminati,1609,4000
Gameguilder,7312,4000
76561198064747645,222,220
Samoanturtle,3724,4000
Booyahoo,1940,240
76561198049456280,0,3910
Knuckleface,2228,240
76561198027225504,988,4000
Dicksoutforboromir,2481,1250
Dropssdrop,771,6880
76561198041245503,12,4000
Kafugax,6147,730
Probotsteve,43,8600
76561198094177304,57,4000
76561198069093971,600,240
76561198060697096,0,4000
76561197977543317,0,220
Boydo,722,10
Brutallegend69,26602,4000
76561198007539695,0,20
76561198064026657,157,220
76561198024450886,24460,4000
Saint556,2,10
Brayneeah,1148,220
Xythesis,70,2400
76561198068581244,23,4000
Breadcommanderz,6638,4000
76561198079362142,966,4000
Brettebear,1986,4000
76561198040467357,372,240
Metiqu,0,3910
Restinspaghettineverforgetti,91,240
Spike_heart,3063,240
Brocky0405,7232,4000
76561198046094676,4605,4560
76561198087095625,12,240
Vladimirputinisgreatman,227,10
76561198082582573,13225,4000
76561198053917005,2300,22370
76561198067729563,185,4000
76561198071647862,4930,4000
Br0wni3,125,10
76561198088957798,14962,4000
76561197988846047,0,10
Sdarkneeds,4724,4000
Brutaka3,1518,220
76561198065166613,1,240
1522188745,11337,4000
76561198110065267,42600,4000
Thebtb,4,1630
Moniquetron,1354,240
76561198059167106,658,3830
76561198105270589,1020,240
Notbudds,14,300
Trutle,6770,4000
Bugsybro,17618,4000
76561198041518533,423,70
76561197989359805,4,300
Uni-juan,2907,4000
Jyep,10104,4000
76561198025636863,1433,300
76561197978008006,11,10
76561198074561346,229,240
76561198094074209,74890,4000
76561198054155652,595,240
76561198036974255,49,3830
76561198020272265,125,240
743748734,254,17080
Burningcassette,895,220
R62153,7515,4000
76561198087011672,3069,4000
Busternut,10538,4000
76561198075981950,80,10
76561198105846578,10,20
Butteryyy,8962,4000
76561198079326390,81,220
76561198142749308,86,2610
897w463824638109276,347,220
Butterz,0,10
8789568,10107,4000
76561198112547239,929,4000
Tongtel,27,240
Noblezinho,171,550
76561198097794993,3763,4000
C13ge,333,70
C14m8s,437,220
1122305938,1894,220
76561198069050565,27872,4000
Cabjoy,102,3830
76561198082278758,453,4000
76561198053685392,1,220
Stormaggen,237,4000
Gusvu,1,15700
76561198059718900,1310,240
Punixa,2212,4000
76561198045679186,1941,4000
76561198051084367,37339,4000
76561198044402508,545,220
76561198081987102,2016,4000
Calii,48,10
76561198084718144,1404,70
76561198077034833,1207,240
Calypto52,65,4000
Camduman,87,220
Camquarter,400,220
76561198056859428,7160,4000
Aquelecaraqfazaquilo,55,300
Camothecomando,819,240
76561198079009374,113,2400
76561197992910116,1812,240
Jonjon4351,0,220
76561198043609375,189,240
76561198039236799,9402,240
Thepyrite99,8,240
76561198062276935,740,220
76561198097295378,952,240
76561198036996272,2,240
8m96,23019,4000
76561198048121243,17,10
Captainvritras,430,20570
Conkerbirdy,0,10
76561198078194423,2379,4000
76561198067657905,12447,4000
76561198070072786,759,70
76561197966764681,1,10
76561198007988939,486,550
76561198067721589,422,220
Gsteambath,225,240
76561198049715896,599,240
76561197996092338,0,10
Carouserwhite,586,220
76561198077709322,65,10
76561198045631910,133,13230
76561198063633577,20,4000
76561198060576252,1149,34030
76561198078670623,1001,4000
Lord_casso,3240,4000
76561198058789410,6874,3910
76561198050876555,283,20900
76561198059948130,5438,4000
76561198038766477,3759,4700
76561198070087725,359,240
76561198042335464,628,3920
Azkhernan123,30956,10
76561198052180785,986,300
Fsfs546hd,196,300
Cccorye,26,240
76561198045283919,1727,4000
76561198081438874,275,4000
76561198078509867,86,240
76561198046848291,9291,240
Weabdestoryer,5813,4000
76561198072411281,6209,4000
Crazygiraffe71,0,220
76561198240923172,194,220
Cgoober2000,0,240
Chacob,0,220
24902,28950,4000
Chalkmetal,0,15100
Kggj,44,240
Asdasdfsadgdfhfgjggj,7066,4000
76561198060996316,100,220
Elheat,983,220
Elementalgodchaos,542,3320
76561198077997574,4888,300
76561198081095968,1019,4000
76561198065784635,2337,220
76561197971917242,117,220
Melonmaniac,1699,4000
76561198083201608,3792,4000
76561198048491595,118,4000
76561198074108172,8187,730
76561198028094250,2351,4000
Mexz1999,732,220
Ichmaskung,2364,4000
Hoxtonpleasedontsueme,1252,220
76561198051215704,6,30
Cheetahpocalypse,6948,4000
76561198067182841,933,4000
Axzothrift,1110,4000
76561198066003101,0,70
76561198283109848,35,220
76561197960281419,1403,10
Chermoil,939,70
Urtle1,0,240
76561198049867810,7003,300
Harharharharhar,19530,4000
76561198074235306,0,220
Pussyhunter121,1268,4000
76561198077733060,6875,4000
Dimsums,8365,1250
76561198091638558,876,240
76561198076375452,3255,220
76561198040845885,129,220
Chicken_tonight,111,240
Chidvd,263,10
76561198056960847,710,4570
76561198024006038,4615,2620
Chillifuzzball,789,220
76561197994523427,0,220
76561198052700471,0,2100
76561198097450390,6509,4000
76561197981448997,2,220
76561198064984988,2953,220
Aerpub,432,2100
76561198078733772,7413,4000
76561198061273070,6247,4000
Isiswannabe,502,240
Smeshdoge,720,6860
Chockie,815,240
76561198065663269,102,240
76561197961840584,0,10
Chronoris,2429,105600
76561198080622032,82,109600
76561198037342853,204,240
76561198060835696,0,1670
Harrisonnorris,232,240
Zaper151,215,10
76561198018913829,3932,220
Strikeraustralia,74,10
Pongping7,92,4000
76561198142474106,64619,4000
Los_shmurdos,183,220
Ciborg2000,2404,220
Mikinmash,554,70
76561198060510583,797,220
76561198074561107,1,2200
76561197976842635,3073,220
76561198046034574,453,240
76561198005413640,1562,240
Officialsenix,1369,240
Mike14476,3916,220
Kelby003,74,20
Mattress121,322,300
Clawz3z,598,4000
76561198079650317,109,220
76561198071207551,209,240
76561198061039259,513,220
Climax2005,0,4000
76561198074202726,12181,4000
76561198074347537,277,240
76561198084239790,523,4000
76561198082626118,1501,4000
Surfchicken,228,4000
76561198091507052,15135,4000
Clouwolf,4569,4000
76561198043339975,779,240
69bmw,11519,4000
76561198067414480,5,2400
76561198078246064,181,4000
Iamshingo,608,4000
76561198077538653,2722,10500
Sirparadiselost,4064,240
76561198064841423,1274,1250
Deerunken,33,320
Rafantasma,293,4000
76561198079756695,10020,4000
Minguscannon,772,3830
Supermansocks17,51,3920
76561198061456632,177,240
76561198049614185,2420,4000
76561198046958203,9841,4000
76561198135044903,0,50
76561198037893945,1266,4700
Combatdiddle,30257,4000
76561198026344945,27,70
Jichaelcoaching,0,220
Compoblue,283,240
Freshlysqueezedorangejukes,852,220
76561198073807760,2253,300
76561198069839577,111,240
76561198172099661,76458,4000
Conjuredmadness,821,220
Cookieblade,5,220
Coolslayer666,4498,240
218939137821738213127983,174,20
76561198072445092,1,240
76561198051864639,2368,4000
Coolbolt1337,122,4000
Cheese_is_illuminati,1030,220
Ndrss,1,2500
76561198081677554,11928,4000
Gamercubeeyes,272,240
76561198091515229,288,70
Notjustanyorange,1155,220
Cosmonaut123456789,689,70
76561197971591275,1274,220
76561198065379833,95,4000
76561198067923747,5762,240
76561198086931177,3783,240
Thecheekyone,4661,240
Cow666,64596,4000
76561198023630372,0,220
76561198107928649,331,4000
76561198056352983,2605,4700
-uplink-,3194,4000
76561198104404617,2940,240
76561198076906240,359,4000
76561198083468887,258,240
76561198071955492,467,4000
76561198073799272,88,4000
Bruhbruhxd,79,240
Skavenshere,113,4000
Crazymac123,3985,240
76561198050299999,3,4000
Thunderfuckers,0,320
76561198135673978,221,4000
76561198045148546,276,300
76561198077244610,403,4000
76561198063850360,2484,4000
76561198069905942,1528,4000
76561198019273712,26401,4000
76561198080465715,2567,240
76561198079372619,6827,4000
76561198029895140,130,220
76561198004738568,0,2600
76561198087693951,0,12810
Crimsonstormftw,986,1520
Cripla66,139,300
76561198064305132,1049,240
Crosph,92,70
76561198067214601,123,240
76561198017913139,39,1900
Oldleakyboat,5,10
Ssaanneess,667,220
Mauledbyabear,1355,240
Fatkris,621,300
Cruzercru,0,320
Getyourmarsbar,271,220
Cryinghyena,7380,4000
76561198065836276,92,4000
76561198053521572,209,240
76561198019737834,1198,400
76561198107811819,3245,4000
Aweoplopo,0,4000
76561198042921883,2230,4760
Kanekicg,21057,4000
76561198048024738,606,220
Czechit,54,10
76561198084976671,1648,240
Cupcake7412,9751,4000
76561198005096571,4772,240
76561198080459808,38,300
Custardgun,0,10
76561198106478135,3342,4000
76561198054793721,4867,4000
The_art_of_feeding,294,240
Jellybeanos,0,1630
Cynex_,459,4000
76561198039197193,285,240
76561198060007427,48,6910
76561197996190797,20,4000
76561197995146150,0,10
76561198064374976,23134,4000
76561198082559637,188,220
Dka013,210,3920
76561198069345625,98,220
76561198046589082,2874,4000
D00ms,0,4000
76561198059201575,8393,4000
76561198084697776,162,4000
76561198060901683,1159,4000
Daunknownman2010,529,10
76561198074763789,1440,70
76561198093384503,27,4000
Dabluice,984,3920
Blitzgames,501,10
76561198045342815,78,4000
76561198025075751,70,20
Daftytm,0,10
76561198080199570,4512,4000
76561197992227006,5,240
Dakker,175,10
76561198070775610,1814,4760
76561198012514677,7800,4000
76561198048133063,641,70
76561198053111161,27357,4000
76561198070562447,78961,240
76561198062767893,0,300
Misterross,1,240
Mainkradxdxdx,32367,4000
76561198101576470,3660,220
76561198060104521,2356,4000
76561198077033323,0,240
Tomasives,3141,220
Dante69123,92559,4000
Dantress,210,50
Whatsupyoutubeimethanbradberry,59471,4000
76561198082590151,48,4760
Daretheseal,85,220
Blackcheeze,476,3920
6dighero,614,10
76561198068040902,9262,204360
Darkdragonforce,77,240
76561198044594262,2251,4000
76561198136941803,1711,4000
76561198051001315,103,240
76561198021814659,0,240
76561198078913614,11620,4000
Supedarkone,153,20
76561198114824153,1455,4000
Bobrossjpegexe,144,220
Blablabla174,1302,4000
Fatppl,2770,220
Dathrius85,0,220
Datts,7751,4000
76561198039026116,2010,240
76561198025464161,2495,70
76561198082545803,0,4000
Ziggypolvoestelar,23366,4000
76561198115099755,2750,4000
76561198046045640,83,30
76561198011337408,1700,8500
Daxzl,975,4000
76561198047080140,2891,22300
76561198067158459,941,220
Catzbread,16546,4000
76561198195091390,1589,22380
76561198061136470,55285,4000
Damayo,131,70
76561198084697858,0,4000
76561198008827809,737,3830
Utatokyoghoul,8481,240
